LX=1400
LY=700
m=50
935.0	471.0	185
777.0	460.0	174
857.0	383.0	121
971.0	321.0	161
643.0	393.0	161
724.0	347.0	154
740.0	330.0	146
722.0	329.0	181
823.0	279.0	125
544.0	414.0	149
544.0	405.0	101
502.0	419.0	152
851.0	247.0	110
884.0	230.0	189
742.0	272.0	136
597.0	324.0	189
957.0	199.0	200
813.0	234.0	198
581.0	301.0	128
746.0	226.0	177
819.0	202.0	178
434.0	358.0	112
424.0	355.0	159
590.0	235.0	126
620.0	222.0	186
614.0	222.0	144
604.0	215.0	154
591.0	214.0	196
369.0	326.0	175
732.0	164.0	137
375.0	307.0	192
885.0	129.0	130
213.0	498.0	143
542.0	175.0	185
981.0	87.0	189
717.0	117.0	135
207.0	375.0	173
949.0	81.0	178
733.0	104.0	111
165.0	412.0	110
155.0	412.0	135
808.0	78.0	123
254.0	193.0	157
619.0	79.0	102
191.0	253.0	194
390.0	113.0	194
230.0	170.0	124
492.0	72.0	164
149.0	227.0	194
207.0	134.0	176
