LX=1400
LY=700
m=50
912.0	473.0	22
971.0	431.0	103
925.0	433.0	9
857.0	409.0	140
706.0	496.0	100
980.0	342.0	9
634.0	493.0	7
914.0	340.0	150
822.0	353.0	143
877.0	327.0	7
861.0	327.0	126
677.0	394.0	11
774.0	340.0	5
960.0	262.0	103
745.0	332.0	177
502.0	467.0	155
492.0	462.0	20
464.0	433.0	1
862.0	227.0	126
536.0	349.0	175
763.0	245.0	181
479.0	373.0	8
832.0	210.0	124
901.0	185.0	17
796.0	208.0	197
387.0	424.0	148
514.0	293.0	152
765.0	196.0	115
508.0	290.0	150
615.0	216.0	22
566.0	216.0	191
369.0	303.0	124
303.0	357.0	143
215.0	493.0	175
541.0	192.0	193
203.0	479.0	7
708.0	137.0	147
313.0	281.0	106
368.0	224.0	163
250.0	285.0	11
819.0	84.0	135
176.0	381.0	186
378.0	176.0	16
539.0	114.0	11
189.0	286.0	161
216.0	209.0	183
199.0	225.0	16
144.0	277.0	167
220.0	177.0	196
162.0	219.0	15
