LX=1400
LY=700
m=40
984.0	438.0	11
914.0	432.0	12
797.0	444.0	24
814.0	430.0	10
802.0	362.0	10
934.0	297.0	7
762.0	334.0	18
549.0	450.0	19
988.0	246.0	17
833.0	265.0	5
654.0	336.0	22
428.0	489.0	10
681.0	278.0	19
996.0	166.0	9
965.0	162.0	6
438.0	327.0	9
442.0	319.0	22
829.0	159.0	5
230.0	494.0	10
242.0	455.0	11
542.0	187.0	2
560.0	179.0	3
219.0	439.0	20
234.0	400.0	23
369.0	253.0	20
194.0	479.0	5
834.0	107.0	17
385.0	221.0	16
837.0	101.0	8
927.0	89.0	12
214.0	365.0	19
475.0	163.0	25
160.0	447.0	6
511.0	137.0	11
908.0	76.0	13
649.0	100.0	17
371.0	152.0	4
187.0	236.0	5
178.0	193.0	2
377.0	77.0	4
