LX=1400
LY=700
m=40
938.0	494.0	5
987.0	465.0	14
881.0	486.0	22
915.0	425.0	25
733.0	472.0	118
642.0	470.0	151
790.0	375.0	18
850.0	331.0	5
759.0	349.0	16
577.0	455.0	114
874.0	298.0	11
696.0	344.0	139
921.0	249.0	2
481.0	456.0	10
449.0	483.0	3
780.0	268.0	12
957.0	188.0	18
352.0	430.0	144
544.0	272.0	23
533.0	264.0	118
750.0	185.0	200
307.0	451.0	13
317.0	425.0	25
934.0	120.0	10
315.0	354.0	19
736.0	140.0	25
839.0	120.0	100
441.0	216.0	125
245.0	349.0	21
627.0	125.0	10
561.0	121.0	20
261.0	248.0	19
152.0	414.0	184
581.0	103.0	108
181.0	324.0	114
289.0	196.0	167
221.0	203.0	177
239.0	176.0	15
442.0	87.0	115
287.0	90.0	106
